replicate,species,window_bp,metric,value
5,dog,100000,log_pearson,0.36473346928426603
5,dog,100000,spearman,0.3210240227539061
5,wolf,200000,pearson,0.6436180957240105
5,wolf,200000,log_pearson,0.43931053926386116
5,wolf,200000,spearman,0.42046647157387906
5,dog,200000,pearson,0.5827083554926715
5,dog,200000,log_pearson,0.395457519326625
5,dog,200000,spearman,0.36408701360256707
5,wolf,500000,pearson,0.7401612670787832
5,wolf,500000,log_pearson,0.4851075987460399
5,wolf,500000,spearman,0.4731461524524299
5,dog,500000,pearson,0.6887811803208154
5,dog,500000,log_pearson,0.4351601257517917
5,dog,500000,spearman,0.4031528572420764
5,wolf,1000000,pearson,0.8555965600256693
5,wolf,1000000,log_pearson,0.542854261598899
5,wolf,1000000,spearman,0.5709178027813104
5,dog,1000000,pearson,0.785400567607102
5,dog,1000000,log_pearson,0.470195380033528
5,dog,1000000,spearman,0.4614505308412937
6,wolf,100000,pearson,0.5533691479335454
6,wolf,100000,log_pearson,0.3917930918717323
6,wolf,100000,spearman,0.36102420508685046
6,dog,100000,pearson,0.4874518814289527
6,dog,100000,log_pearson,0.35267842060598903
6,dog,100000,spearman,0.3070774668239313
6,wolf,200000,pearson,0.656300231551148
6,wolf,200000,log_pearson,0.4353256899935135
6,wolf,200000,spearman,0.41741496515486953
6,dog,200000,pearson,0.5859248521084961
6,dog,200000,log_pearson,0.37460414025954597
6,dog,200000,spearman,0.3422525206226096
6,wolf,500000,pearson,0.745393726566431
6,wolf,500000,log_pearson,0.48388035589842227
6,wolf,500000,spearman,0.4734422848818054
6,dog,500000,pearson,0.7032198260284197
6,dog,500000,log_pearson,0.4016634470362733
6,dog,500000,spearman,0.37548059548211976
6,wolf,1000000,pearson,0.862103472133624
6,wolf,1000000,log_pearson,0.5437506250641585
6,wolf,1000000,spearman,0.5652936085200299
6,dog,1000000,pearson,0.799743288720939
6,dog,1000000,log_pearson,0.4500630372729255
6,dog,1000000,spearman,0.4482746657163322
7,wolf,100000,pearson,0.5502609522738994
7,wolf,100000,log_pearson,0.3841432995886832
7,wolf,100000,spearman,0.35457821031707426
7,dog,100000,pearson,0.4420607241077143
7,dog,100000,log_pearson,0.3610497874727178
7,dog,100000,spearman,0.3246128300304472
7,wolf,200000,pearson,0.6510925192619658
7,wolf,200000,log_pearson,0.43322135194211847
7,wolf,200000,spearman,0.4160413323728996
7,dog,200000,pearson,0.5280880209853434
7,dog,200000,log_pearson,0.3923549134338686
7,dog,200000,spearman,0.36363918313433996
7,wolf,500000,pearson,0.7458610667603466
7,wolf,500000,log_pearson,0.4838299480186879
7,wolf,500000,spearman,0.46994548825000265
7,dog,500000,pearson,0.6208601845711013
7,dog,500000,log_pearson,0.4219349949233677
7,dog,500000,spearman,0.39979626999023976
7,wolf,1000000,pearson,0.8600307344630654
7,wolf,1000000,log_pearson,0.5409682869644156
7,wolf,1000000,spearman,0.5758481029454201
7,dog,1000000,pearson,0.7629452554629866
7,dog,1000000,log_pearson,0.45319277606738395
7,dog,1000000,spearman,0.4613117520218595
8,wolf,100000,pearson,0.5492271617331279
8,wolf,100000,log_pearson,0.39458156252991444
8,wolf,100000,spearman,0.36584310500172373
8,dog,100000,pearson,0.48791673131133406
8,dog,100000,log_pearson,0.37329131149315375
8,dog,100000,spearman,0.32880559551695104
8,wolf,200000,pearson,0.6530802833082026
8,wolf,200000,log_pearson,0.4405991523649625
8,wolf,200000,spearman,0.4264934169314627
8,dog,200000,pearson,0.582441653265198
8,dog,200000,log_pearson,0.4041822423562581
8,dog,200000,spearman,0.375363406301874
8,wolf,500000,pearson,0.7452302203324631
8,wolf,500000,log_pearson,0.4889613917135586
8,wolf,500000,spearman,0.4906459113116391
8,dog,500000,pearson,0.7001257775298558
8,dog,500000,log_pearson,0.4431808049325762
8,dog,500000,spearman,0.42145295110696396
8,wolf,1000000,pearson,0.8653681658653424
8,wolf,1000000,log_pearson,0.5485379552127547
8,wolf,1000000,spearman,0.5876735191908918
8,dog,1000000,pearson,0.8101624295327717
8,dog,1000000,log_pearson,0.47186493987244543
8,dog,1000000,spearman,0.5100888549787843
9,wolf,100000,pearson,0.5352298414362378
9,wolf,100000,log_pearson,0.3799766988891594
9,wolf,100000,spearman,0.3531231401349213
9,dog,100000,pearson,0.45080060503981134
9,dog,100000,log_pearson,0.362584218178986
9,dog,100000,spearman,0.31657324176823803
9,wolf,200000,pearson,0.6252204786362557
9,wolf,200000,log_pearson,0.4286350851484973
9,wolf,200000,spearman,0.4173687200798322
9,dog,200000,pearson,0.544345518256796
9,dog,200000,log_pearson,0.38937408654655387
9,dog,200000,spearman,0.35782944972307545
9,wolf,500000,pearson,0.7279657821963913
9,wolf,500000,log_pearson,0.47858910111700825
9,wolf,500000,spearman,0.4679613558997582
9,dog,500000,pearson,0.6614171160170144
9,dog,500000,log_pearson,0.4324990241159897
9,dog,500000,spearman,0.41571335367647017
9,wolf,1000000,pearson,0.8603855126407314
9,wolf,1000000,log_pearson,0.5417068996033199
9,wolf,1000000,spearman,0.5762060062165925
9,dog,1000000,pearson,0.7732435184020244
9,dog,1000000,log_pearson,0.46238266121233046
9,dog,1000000,spearman,0.4862992436684063
10,wolf,100000,pearson,0.5598433347679271
10,wolf,100000,log_pearson,0.39484743460546606
10,wolf,100000,spearman,0.36276240420542977
10,dog,100000,pearson,0.4809674522120809
10,dog,100000,log_pearson,0.350356174547532
10,dog,100000,spearman,0.30341681871612974
10,wolf,200000,pearson,0.6505589493934906
10,wolf,200000,log_pearson,0.4438374049456372
10,wolf,200000,spearman,0.42302515257035056
10,dog,200000,pearson,0.5815467050430203
10,dog,200000,log_pearson,0.3789455326494885
10,dog,200000,spearman,0.342787812250563
10,wolf,500000,pearson,0.7464614760468634
10,wolf,500000,log_pearson,0.48626473520315366
10,wolf,500000,spearman,0.47715678617629975
10,dog,500000,pearson,0.7039889497353955
10,dog,500000,log_pearson,0.41541172701366746
10,dog,500000,spearman,0.3997801318596812
10,wolf,1000000,pearson,0.8543155895025935
10,wolf,1000000,log_pearson,0.5480826628450286
10,wolf,1000000,spearman,0.5789304535665375
10,dog,1000000,pearson,0.811409342358525
10,dog,1000000,log_pearson,0.45999117017178104
10,dog,1000000,spearman,0.4591615187734863
11,wolf,100000,pearson,0.5388736380745309
11,wolf,100000,log_pearson,0.39353763997144914
11,wolf,100000,spearman,0.3611811586164719
11,dog,100000,pearson,0.44496071618507116
11,dog,100000,log_pearson,0.37214502980230135
11,dog,100000,spearman,0.3274054320317039
11,wolf,200000,pearson,0.6509275272922405
11,wolf,200000,log_pearson,0.4405841737806963
11,wolf,200000,spearman,0.4176262798597855
11,dog,200000,pearson,0.5295080350747738
11,dog,200000,log_pearson,0.3946159549775717
11,dog,200000,spearman,0.3592956700674176
11,wolf,500000,pearson,0.7412969295043483
11,wolf,500000,log_pearson,0.4763699062222784
11,wolf,500000,spearman,0.46907421886494527
11,dog,500000,pearson,0.6172856263210177
11,dog,500000,log_pearson,0.43147179305967087
11,dog,500000,spearman,0.41198556573343587
11,wolf,1000000,pearson,0.8590953196380888
11,wolf,1000000,log_pearson,0.536137124949256
11,wolf,1000000,spearman,0.5600054050847477
11,dog,1000000,pearson,0.7443250662565557
11,dog,1000000,log_pearson,0.45065673599092143
11,dog,1000000,spearman,0.4623023083169792
12,wolf,100000,pearson,0.5529966774697436
12,wolf,100000,log_pearson,0.39177571700836794
12,wolf,100000,spearman,0.36064954838606716
12,dog,100000,pearson,0.4642959614202496
12,dog,100000,log_pearson,0.35649500976772325
12,dog,100000,spearman,0.31064430908223284
12,wolf,200000,pearson,0.6524617930267298
12,wolf,200000,log_pearson,0.4402784565861919
12,wolf,200000,spearman,0.42129908639125446
12,dog,200000,pearson,0.5521677815704065
12,dog,200000,log_pearson,0.386361483341735
12,dog,200000,spearman,0.35330171764741436
12,wolf,500000,pearson,0.7429670202008151
12,wolf,500000,log_pearson,0.47727051714014196
12,wolf,500000,spearman,0.4719724403579193
12,dog,500000,pearson,0.6513777113387091
12,dog,500000,log_pearson,0.4132166886751328
12,dog,500000,spearman,0.38637349109964736
12,wolf,1000000,pearson,0.8579134959264895
12,wolf,1000000,log_pearson,0.5401361935381955
12,wolf,1000000,spearman,0.571224577013744
12,dog,1000000,pearson,0.7808495509862537
12,dog,1000000,log_pearson,0.4584020373991097
12,dog,1000000,spearman,0.460768434353878
13,wolf,100000,pearson,0.5521462860021152
13,wolf,100000,log_pearson,0.4025872743541591
13,wolf,100000,spearman,0.37162709581288905
13,dog,100000,pearson,0.44781240698046954
13,dog,100000,log_pearson,0.3583583676067914
13,dog,100000,spearman,0.31362532213054595
13,wolf,200000,pearson,0.649334832399484
13,wolf,200000,log_pearson,0.44988658026299955
13,wolf,200000,spearman,0.4288472650908581
13,dog,200000,pearson,0.533884219738121
13,dog,200000,log_pearson,0.3855163973493591
13,dog,200000,spearman,0.3511722188780408
13,wolf,500000,pearson,0.7457279479732498
13,wolf,500000,log_pearson,0.49274322314879576
13,wolf,500000,spearman,0.4896673671652555
13,dog,500000,pearson,0.6148767497033428
13,dog,500000,log_pearson,0.42748390294606425
13,dog,500000,spearman,0.4075276438496131
13,wolf,1000000,pearson,0.8610567121538895
13,wolf,1000000,log_pearson,0.5470320622083514
13,wolf,1000000,spearman,0.5810194400064418
13,dog,1000000,pearson,0.7582573142513866
13,dog,1000000,log_pearson,0.45950742793029886
13,dog,1000000,spearman,0.4693317069554779
14,wolf,100000,pearson,0.5602597171296174
14,wolf,100000,log_pearson,0.3947736173471898
14,wolf,100000,spearman,0.36199603948402176
14,dog,100000,pearson,0.4970078741882863
14,dog,100000,log_pearson,0.36527785688925835
14,dog,100000,spearman,0.31499957391850664
14,wolf,200000,pearson,0.6719893880336194
14,wolf,200000,log_pearson,0.44132114725733634
14,wolf,200000,spearman,0.4218291752872041
14,dog,200000,pearson,0.5865556140193748
14,dog,200000,log_pearson,0.396191608274047
14,dog,200000,spearman,0.36057657968191853
14,wolf,500000,pearson,0.7543571733726605
14,wolf,500000,log_pearson,0.48899516275699423
14,wolf,500000,spearman,0.48226856377378313
14,dog,500000,pearson,0.714322019276701
14,dog,500000,log_pearson,0.43390284045369065
14,dog,500000,spearman,0.4061553176756414
14,wolf,1000000,pearson,0.8665564364350581
14,wolf,1000000,log_pearson,0.5430275814523187
14,wolf,1000000,spearman,0.5834298089755621
14,dog,1000000,pearson,0.8187932249712315
14,dog,1000000,log_pearson,0.47527876651093787
14,dog,1000000,spearman,0.4798542089518946
15,wolf,100000,pearson,0.5470217124778737
15,wolf,100000,log_pearson,0.3913382894566596
15,wolf,100000,spearman,0.3601458422972314
15,dog,100000,pearson,0.47512965837248994
15,dog,100000,log_pearson,0.3728024800559946
15,dog,100000,spearman,0.3348998777889394
15,wolf,200000,pearson,0.648389803601261
15,wolf,200000,log_pearson,0.4419148543103383
15,wolf,200000,spearman,0.42038220729195996
15,dog,200000,pearson,0.5639719444016871
15,dog,200000,log_pearson,0.40932939549165326
15,dog,200000,spearman,0.3828261332159362
15,wolf,500000,pearson,0.7501886220119561
15,wolf,500000,log_pearson,0.4902906860556225
15,wolf,500000,spearman,0.4856770164844937
15,dog,500000,pearson,0.6568123962893008
15,dog,500000,log_pearson,0.45130028904301805
15,dog,500000,spearman,0.43169714542141846
15,wolf,1000000,pearson,0.8610409132919109
15,wolf,1000000,log_pearson,0.5534979725319468
15,wolf,1000000,spearman,0.5788793245277986
15,dog,1000000,pearson,0.7796737984947022
