replicate,species,window_bp,metric,value
5,dog,100000,log_pearson,0.34463960915584574
5,dog,100000,spearman,0.28057690650536377
5,wolf,200000,pearson,0.6561372795237852
5,wolf,200000,log_pearson,0.43691761853360733
5,wolf,200000,spearman,0.4035449969642851
5,dog,200000,pearson,0.6287931859651302
5,dog,200000,log_pearson,0.3709023600480937
5,dog,200000,spearman,0.3197738623299964
5,wolf,500000,pearson,0.7645662983718429
5,wolf,500000,log_pearson,0.4845647755196443
5,wolf,500000,spearman,0.4657824013620307
5,dog,500000,pearson,0.7410012834223845
5,dog,500000,log_pearson,0.40377974553845675
5,dog,500000,spearman,0.3372064171410992
5,wolf,1000000,pearson,0.8604347486778595
5,wolf,1000000,log_pearson,0.5202890404904198
5,wolf,1000000,spearman,0.5676017194116721
5,dog,1000000,pearson,0.8230034102798076
5,dog,1000000,log_pearson,0.4007760267970223
5,dog,1000000,spearman,0.40417870330531774
6,wolf,100000,pearson,0.5773923080822938
6,wolf,100000,log_pearson,0.3896190158264764
6,wolf,100000,spearman,0.3458377627468392
6,dog,100000,pearson,0.5517465528329902
6,dog,100000,log_pearson,0.3297557969957092
6,dog,100000,spearman,0.26470789816729573
6,wolf,200000,pearson,0.6585863023283535
6,wolf,200000,log_pearson,0.44318840241119595
6,wolf,200000,spearman,0.41088860933637156
6,dog,200000,pearson,0.6152093194888228
6,dog,200000,log_pearson,0.3540949495975855
6,dog,200000,spearman,0.2991405845285211
6,wolf,500000,pearson,0.7643151238372912
6,wolf,500000,log_pearson,0.4915081005761798
6,wolf,500000,spearman,0.4747583220158072
6,dog,500000,pearson,0.7308430944429751
6,dog,500000,log_pearson,0.38406633057800693
6,dog,500000,spearman,0.31380732865230065
6,wolf,1000000,pearson,0.8632850885299251
6,wolf,1000000,log_pearson,0.5373625632963478
6,wolf,1000000,spearman,0.5705087704713991
6,dog,1000000,pearson,0.8141932618567642
6,dog,1000000,log_pearson,0.39759027909304745
6,dog,1000000,spearman,0.4057856159513979
7,wolf,100000,pearson,0.5757207022544408
7,wolf,100000,log_pearson,0.38828802423115477
7,wolf,100000,spearman,0.33718525683230083
7,dog,100000,pearson,0.5462092305571064
7,dog,100000,log_pearson,0.3333595103976173
7,dog,100000,spearman,0.2706561485816907
7,wolf,200000,pearson,0.6572724818090744
7,wolf,200000,log_pearson,0.4375709703963841
7,wolf,200000,spearman,0.40096253770369467
7,dog,200000,pearson,0.6069650750404679
7,dog,200000,log_pearson,0.358773853629986
7,dog,200000,spearman,0.3112626039991777
7,wolf,500000,pearson,0.7595008244398729
7,wolf,500000,log_pearson,0.4794556911552205
7,wolf,500000,spearman,0.46520456013082945
7,dog,500000,pearson,0.7286625048296903
7,dog,500000,log_pearson,0.39466325893589105
7,dog,500000,spearman,0.32036770564309985
7,wolf,1000000,pearson,0.8569559823130981
7,wolf,1000000,log_pearson,0.5258478993729108
7,wolf,1000000,spearman,0.571706650807568
7,dog,1000000,pearson,0.8112512217454588
7,dog,1000000,log_pearson,0.39104790284295826
7,dog,1000000,spearman,0.3982696472567775
8,wolf,100000,pearson,0.5819916920621829
8,wolf,100000,log_pearson,0.3846725631918282
8,wolf,100000,spearman,0.3349644062751736
8,dog,100000,pearson,0.5616676186242274
8,dog,100000,log_pearson,0.3389743707051843
8,dog,100000,spearman,0.27184214423749714
8,wolf,200000,pearson,0.6574348851083119
8,wolf,200000,log_pearson,0.43326290152949626
8,wolf,200000,spearman,0.3984605350447893
8,dog,200000,pearson,0.6286363272152469
8,dog,200000,log_pearson,0.36574008716656203
8,dog,200000,spearman,0.313717835996595
8,wolf,500000,pearson,0.764120385255285
8,wolf,500000,log_pearson,0.47685998504065635
8,wolf,500000,spearman,0.46029426186818806
8,dog,500000,pearson,0.7454862613894007
8,dog,500000,log_pearson,0.4037924888795551
8,dog,500000,spearman,0.34146953797413715
8,wolf,1000000,pearson,0.8572372740140873
8,wolf,1000000,log_pearson,0.5155715219955682
8,wolf,1000000,spearman,0.5548925012108563
8,dog,1000000,pearson,0.8258393486691857
8,dog,1000000,log_pearson,0.3953433708026362
8,dog,1000000,spearman,0.3858598991400037
9,wolf,100000,pearson,0.574265365400814
9,wolf,100000,log_pearson,0.3975974568621906
9,wolf,100000,spearman,0.35342702072925136
9,dog,100000,pearson,0.5136608421498974
9,dog,100000,log_pearson,0.3325649685539224
9,dog,100000,spearman,0.27000783476157564
9,wolf,200000,pearson,0.6552055349430239
9,wolf,200000,log_pearson,0.4491216646008349
9,wolf,200000,spearman,0.4168515829355388
9,dog,200000,pearson,0.5849046385555685
9,dog,200000,log_pearson,0.3587421706698627
9,dog,200000,spearman,0.30725370070547486
9,wolf,500000,pearson,0.7638013170264418
9,wolf,500000,log_pearson,0.5029313348410259
9,wolf,500000,spearman,0.48605011493628575
9,dog,500000,pearson,0.716525732555947
9,dog,500000,log_pearson,0.3915780419705231
9,dog,500000,spearman,0.328278470092809
9,wolf,1000000,pearson,0.8596500975926697
9,wolf,1000000,log_pearson,0.5307345022435958
9,wolf,1000000,spearman,0.5778713520498029
9,dog,1000000,pearson,0.8003986528742432
9,dog,1000000,log_pearson,0.3873761156729089
9,dog,1000000,spearman,0.3899648305358994
10,wolf,100000,pearson,0.5770900975893816
10,wolf,100000,log_pearson,0.37926758297745716
10,wolf,100000,spearman,0.33011770556329656
10,dog,100000,pearson,0.5498965487345424
10,dog,100000,log_pearson,0.3220726811522265
10,dog,100000,spearman,0.25263283980812634
10,wolf,200000,pearson,0.6544658479434071
10,wolf,200000,log_pearson,0.4257726139481195
10,wolf,200000,spearman,0.38711813074220275
10,dog,200000,pearson,0.6211179281418314
10,dog,200000,log_pearson,0.34791811507084414
10,dog,200000,spearman,0.2910487451492341
10,wolf,500000,pearson,0.7564366555760134
10,wolf,500000,log_pearson,0.46433618013384337
10,wolf,500000,spearman,0.4456954321978473
10,dog,500000,pearson,0.7335859731059279
10,dog,500000,log_pearson,0.378146475610683
10,dog,500000,spearman,0.3081267768683747
10,wolf,1000000,pearson,0.8561477424103972
10,wolf,1000000,log_pearson,0.5117137459335872
10,wolf,1000000,spearman,0.5472085371032366
10,dog,1000000,pearson,0.8159317822725666
10,dog,1000000,log_pearson,0.39284711165276465
10,dog,1000000,spearman,0.38881807923846945
11,wolf,100000,pearson,0.5767597159144499
11,wolf,100000,log_pearson,0.3919785106180124
11,wolf,100000,spearman,0.34302769040437225
