cohort	release_population	species	country	lat	lon	n_hap	n_snp	Ne_est	win_bp	bed_sha256	map_set_sha256
colu_AO	AOcol	Anopheles coluzzii	Angola	-8.821000	13.291000	80	4143858	357505	50000	5e8f654c1d84742f6c5ca5111fce8918721c61cb5c32570beb5f2476df81b4b9	4ea614ae63934065f05139c65083e6e509a83cd5f5c77d10bf1a37c97f1d36fd
colu_BF	BFcol	Anopheles coluzzii	Burkina Faso	11.223075	-4.456550	80	9490775	1055161	50000	8b9cb7a1c8420a24eca9617e9629e3ae44f366139ad8ed947c401b6cc162651d	c092a7eb2b81d6112a3470496ea9f618c4bc70f5dbc97cb822e0d7b9d99dee67
gamb_BF	BFgam	Anopheles gambiae	Burkina Faso	11.194525	-4.389350	80	10560408	1158221	50000	5d37431825cd3a2896cb29b3ff2799e5951115fd4b1719fb6baa0bc3a1557c03	550beca86cf3b0d2039d93eab879fdb1f0b48282ef0740217c684b6d12385514
colu_CI	CIcol	Anopheles coluzzii	Cote d'Ivoire	5.898390	-4.822930	80	7710770	832685	50000	22fe8b4e01f68bcd55ec19ce6c3babf1ac6d5b104c3b4bfd2863ffb5022cbb75	137b824e35fc89da0a6668de3b8a68108046fa4fd3c337ada43d21fc69b19393
gamb_CM	CMgam	Anopheles gambiae	Cameroon	4.928750	13.931100	80	10471921	1156325	50000	4a84af19879a2dbd127f837c0a3ef0b2690233d1a90037f7b153f02e4f17f22f	fe7e1a6e85f995bdacdf63c86a7c56b57913236e7a052995b62c433d150eb024
gamb_GA	GAgam	Anopheles gambiae	Gabon	0.384000	9.455000	80	5424191	395891	50000	1857182fb365f30fd4dbbd2cf0dfa9adffa8c2e4b2066714358e7aa7d65a84c9	d63a27db6b456a84f579eadb2865b649015b43254537c2ed2752e989c60de7c1
colu_GH	GHcol	Anopheles coluzzii	Ghana	5.409372	-1.257588	80	7673837	840762	50000	cad5a7f927720076b401949eb438031acbb2c6d05aea40c78ab83f513e914022	f0ff49d055a8bc25728d02eeb1912899f6e0285be6184c0e816d4d04a844ad1b
gamb_GN	GNgam	Anopheles gambiae	Guinea	8.912500	-9.692000	80	10621956	1156257	50000	a58565a5459b6b037a95040546067146193ba70b3e4b6a3f9c8a091d3d14786f	efec5f8b2d1960bc648449fe17235c7a6b3edc1650492f59fd6a914d51913f1d
gamb_UG	UGgam	Anopheles gambiae	Uganda	0.770000	34.026000	80	9724481	1067755	50000	82933054c580e7d3da233ea15393417b7f67163e561eeb8c246884f31146ca82	bd0ea5227e94f83ec5fc7f7400a212ea2c6a2022741a88a7e9e7c51e45148e04
