Block_Penalty	Window_Size	Pearson_Corr_1bp	Pearson_Corr_10kb	Pearson_Corr_100kb	Log_Pearson_Corr_1bp	Log_Pearson_Corr_10kb	Log_Pearson_Corr_100kb	Spearman_Corr_1bp	Spearman_Corr_10kb	Spearman_Corr_100kb	L2	Log_L2
15.0	40.0	0.48404009902957	0.7033561025797312	0.6926082657211597	0.7372622113871564	0.7830251409345312	0.7967363399339105	0.8567772340515453	0.8930439536350413	0.9263759700408335	0.00017803719892822925	8424.563157811672
15.0	50.0	0.471427402231139	0.717899405824061	0.7019664762720755	0.7199620682137093	0.8020802123027432	0.8060863719747893	0.8347516827888866	0.9239656558354855	0.9223525829573889	0.00018831443143036257	8373.97684609376
15.0	60.0	0.4844036890816829	0.709269509609312	0.6992660942588784	0.7147778806553775	0.7921029417975982	0.8042041492205443	0.8203409751515538	0.9132124405913457	0.9181079714267653	0.00019275351470290106	8544.538345776797
20.0	40.0	0.4851333098676488	0.7067515232364204	0.6965441065561455	0.746874024793971	0.7857487530572789	0.7962490718710776	0.8790891361248736	0.8946791254399087	0.9285752102553684	0.00017017934854666734	8410.448295692335
20.0	50.0	0.45925746357191966	0.7061920837908356	0.6978310079620392	0.7192540716531839	0.7868464042299441	0.8012443096862738	0.853305995192036	0.8978643797342442	0.9261267185296217	0.00018052808907675455	8414.169026661813
20.0	60.0	0.4687755189950623	0.7132982810376203	0.7019173377029659	0.7136837496682079	0.7962165455846986	0.8050506093641883	0.8383728657686152	0.916401232080702	0.9212494788043915	0.00018289240403256157	8403.589634367823
25.0	40.0	0.5319249665825101	0.7073250934403724	0.699565809731167	0.7452847102874921	0.7847365969512408	0.7935283597372521	0.8919765042340471	0.8963945397902834	0.930824464995835	0.00016619499732963548	8449.25283157479
25.0	50.0	0.43924222521131406	0.7081547234436459	0.7002476082975512	0.7171028335092301	0.787930267193917	0.8012531530636213	0.8659441320581494	0.9007579366160582	0.9284558748461187	0.00017839082358116982	8395.083180661051
25.0	60.0	0.44855898582094	0.7155174991158024	0.7031484485255215	0.7110842702074337	0.7979950149391281	0.8047079607994623	0.8526668893070329	0.9177911039109184	0.9237117084181021	0.0001799453940546293	8328.556003486896
30.0	40.0	0.5121607349174266	0.7010401478440449	0.6957337670819983	0.73547573728769	0.7792126647219307	0.787789052441762	0.8974075909420759	0.8975060511410797	0.9276110288290322	0.00017039104222512654	8589.153756510435
30.0	50.0	0.5031840478271413	0.7067283261360993	0.7008135453607468	0.7192749806094655	0.7859865567892773	0.7985861215222139	0.8791308807465918	0.9027676009618051	0.9319315961588435	0.00016758148913568292	8442.094800421553
30.0	60.0	0.4322385186838198	0.7161693442666173	0.7043564767613201	0.7052055215622547	0.7980223943459956	0.8042207867650814	0.8643477925913892	0.920203815366318	0.926829268292715	0.00017895371455913577	8316.032898557243
35.0	40.0	0.4695981834993473	0.7020876724309031	0.697849304551389	0.7042994228850248	0.7772400008085655	0.7819311877944353	0.8953734639934878	0.8969190898817752	0.919370494764378	0.00017596674901312423	8677.81724169329
35.0	50.0	0.5040650404453598	0.7077112336332078	0.7030797507108566	0.7226693823555138	0.7853692784962346	0.7967956260582398	0.8906001585169222	0.9035313929070732	0.9311402591506543	0.00016924327352814885	8467.415797902122
35.0	60.0	0.4904139413023128	0.7076231434288835	0.7022382832429278	0.7051705683221501	0.7885441433391931	0.801723674243912	0.873739280908775	0.9079821189087002	0.9309055910892264	0.00016879275411731167	8434.507523352393
40.0	40.0	0.44616758587218075	0.6889358936538359	0.6884111512142921	0.6813189873944446	0.7636428566570297	0.7700866076337244	0.8930807838827981	0.8957911703434341	0.9192506243489211	0.00017952361747374684	8905.078156354322
40.0	50.0	0.4781017614270998	0.7031279829733311	0.7003964907688934	0.7058865661327671	0.7819028892120248	0.7918221635221072	0.8835129096468566	0.9048028954088271	0.9284357041300274	0.00017326886549164382	8615.425386069748
40.0	60.0	0.48394798962875557	0.7087214503987194	0.7037687351796106	0.702721360594508	0.788288539842616	0.7995106457982206	0.880823365096821	0.9079863965617162	0.9308378799956408	0.00016972450025534074	8443.30746171288
