cohort	release_population	species	country	n_diploid	selection_seed	sample_set_sha256
colu_AO	AOcol	Anopheles coluzzii	Angola	40	2026	ab8fb38129556569b78fc576d0caff113c18b22721d8b5803e2b67cdb8df56db
colu_BF	BFcol	Anopheles coluzzii	Burkina Faso	40	2026	82244a24ced6f92811677b47230fe2c3e6260972331d6d064417b972d193ae6a
gamb_BF	BFgam	Anopheles gambiae	Burkina Faso	40	2026	feecabaaf3c1cb704bd4ccc5a21bacbd940c707380ed449200475217aae90cb4
colu_CI	CIcol	Anopheles coluzzii	Cote d'Ivoire	40	2026	2cf2db43dadd4465e7ca42b3701bced5f4af30f1c10f0e83d71308d66b163c62
gamb_CM	CMgam	Anopheles gambiae	Cameroon	40	2026	5a0c2ef568a90e2aad3da86637038417c7e54394587a96f6066616e4287678b7
gamb_GA	GAgam	Anopheles gambiae	Gabon	40	2026	07f380eda502e7a7ac317e1f7ca5c88d4608abf6b5d1c14407ee5bf6df486be1
colu_GH	GHcol	Anopheles coluzzii	Ghana	40	2026	eacfdd387b9822cfbcb1eab8ed70f27cab03ce894d8fbc5a7161cb63687dfa7a
gamb_GN	GNgam	Anopheles gambiae	Guinea	40	2026	5ab2ce5e8a701824139d5e8d4363721976c63c44c5f50e1fd524bcdb068e45a0
gamb_UG	UGgam	Anopheles gambiae	Uganda	40	2026	4681d9d7804841080384cf7124d09fcf7714bdc58b373a09e37561f1f50c4165
