cohort	release_population	sample_id	selection_order
colu_CI	CIcol	AY0043-C	17
colu_CI	CIcol	AY0045-C	18
colu_CI	CIcol	AY0047-C	19
colu_CI	CIcol	AY0048-C	20
colu_CI	CIcol	AY0049-C	21
colu_CI	CIcol	AY0050-C	22
colu_CI	CIcol	AY0054-C	23
colu_CI	CIcol	AY0055-C	24
colu_CI	CIcol	AY0056-C	25
colu_CI	CIcol	AY0059-C	26
colu_CI	CIcol	AY0060-C	27
colu_CI	CIcol	AY0065-C	28
colu_CI	CIcol	AY0066-C	29
colu_CI	CIcol	AY0067-C	30
colu_CI	CIcol	AY0070-C	31
colu_CI	CIcol	AY0076-C	32
colu_CI	CIcol	AY0078-C	33
colu_CI	CIcol	AY0079-C	34
colu_CI	CIcol	AY0080-C	35
colu_CI	CIcol	AY0082-C	36
colu_CI	CIcol	AY0085-C	37
colu_CI	CIcol	AY0087-C	38
colu_CI	CIcol	AY0090-C	39
gamb_CM	CMgam	AN0012-C	0
gamb_CM	CMgam	AN0040-C	1
gamb_CM	CMgam	AN0045-C	2
gamb_CM	CMgam	AN0051-C	3
gamb_CM	CMgam	AN0060-C	4
gamb_CM	CMgam	AN0062-C	5
gamb_CM	CMgam	AN0063-C	6
gamb_CM	CMgam	AN0064-C	7
gamb_CM	CMgam	AN0082-C	8
gamb_CM	CMgam	AN0092-C	9
gamb_CM	CMgam	AN0094-C	10
gamb_CM	CMgam	AN0104-C	11
gamb_CM	CMgam	AN0106-C	12
gamb_CM	CMgam	AN0109-C	13
gamb_CM	CMgam	AN0144-C	14
gamb_CM	CMgam	AN0156-C	15
gamb_CM	CMgam	AN0160-C	16
gamb_CM	CMgam	AN0172-C	17
gamb_CM	CMgam	AN0185-C	18
gamb_CM	CMgam	AN0189-C	19
gamb_CM	CMgam	AN0192-C	20
gamb_CM	CMgam	AN0198-C	21
gamb_CM	CMgam	AN0199-C	22
gamb_CM	CMgam	AN0205-C	23
gamb_CM	CMgam	AN0207-C	24
gamb_CM	CMgam	AN0209-C	25
gamb_CM	CMgam	AN0213-C	26
gamb_CM	CMgam	AN0221-C	27
gamb_CM	CMgam	AN0242-C	28
gamb_CM	CMgam	AN0246-C	29
gamb_CM	CMgam	AN0247-C	30
gamb_CM	CMgam	AN0252-C	31
gamb_CM	CMgam	AN0264-C	32
gamb_CM	CMgam	AN0269-C	33
gamb_CM	CMgam	AN0272-C	34
gamb_CM	CMgam	AN0287-C	35
gamb_CM	CMgam	AN0291-C	36
gamb_CM	CMgam	AN0296-C	37
gamb_CM	CMgam	AN0302-C	38
gamb_CM	CMgam	AN0319-C	39
gamb_GA	GAgam	AS0001-C	0
gamb_GA	GAgam	AS0003-C	1
gamb_GA	GAgam	AS0005-C	2
